相容れない
愛くるしい
あいにくだ
曖昧だ
愛らしい
あえない
青い
青臭い
青白い
赤い
あからさまだ
明るい
飽き足りない
飽きっぽい
明らかだ
悪質だ
アクティブだ
あくどい
悪筆だ
悪名高い
悪辣だ
明け透けだ
開けっ放しだ
あけっぴろげだ
浅い
浅黒い
浅墓だ
浅ましい
鮮やかだ
悪しい
足手まといだ
足早だ
味気ない
汗だくだ
汗みどろだ
遊び半分だ
温かい
暖かい
温かだ
暖かだ
新しい
当たり前だ
あっけない
あっぱれだ
厚い
暑い
熱い
厚かましい
暑苦しい
厚手だ
誂え向きだ
当てずっぽうだ
あでやかだ
アトホームだ
あどけない
あばずれだ
危ない
危なかしい
危なげない
脂っこい
あべこべだ
あほらしい
甘い
甘辛い
アマチュアだ
甘ったるい
余りだ
危うい
怪しい
妖しい
あやふやだ
荒々しい
荒い
粗い
粗削りだ
新ただ
荒っぽい
粗っぽい
あらわだ
ありがたい
ありきたりだ
ありのままだ
荒れ模様だ
淡い
慌ただしい
哀れだ
安易だ
安価だ
案外だ
暗黒だ
安心だ
安静だ
安全だ
安泰だ
安直だ
安穏だ
アンバランスだ
アンフェアだ
あんまりだ
安楽だ
大味だ
大荒れだ
カジュアルだ
凶悪だ
クリアだ
険悪だ
こと新しい
最愛だ
最悪だ
幸せだ
シビアだ
醜悪だ
シリアスだ
邪悪だ
粗悪だ
俗悪だ
手厚い
手荒い
手荒だ
生暖かい
ビジュアルだ
不安気だ
不安だ
不安定だ
不案内だ
不幸せだ
不釣り合いだ
不似合いだ
無愛想だ
分厚い
平安だ
まあまあだ
マニアックだ
ミステリアスだ
耳新しい
蒸し暑い
目新しい
安上がりだ
リアルだ
劣悪だ
和気あいあいだ
いい
いい加減だ
言いがたい
いい気だ
言いにくい
いかがだ
いかがわしい
いかつい
いかめしい
遺憾だ
意外だ
息苦しい
粋だ
意義深い
異形だ
いけない
イコールだ
意固地だ
潔い
勇ましい
異質だ
異色だ
意地っ張りだ
異常だ
いじらしい
意地悪だ
忙しい
痛い
いたいけだ
痛々しい
居丈高だ
致し方ない
悪戯だ
いたたまれない
痛ましい
いたわしい
偉大だ
一義的だ
一時的だ
著しい
一途だ
一面だ
一目瞭然だ
一様だ
一律だ
一気だ
一挙だ
一生懸命だ
一緒くただ
一緒だ
一斉だ
一杯だ
一方的だ
一本気だ
一本調子だ
いとしい
命知らずだ
意のままだ
いびつだ
いぶかしい
違法だ
今一だ
いまいましい
今風だ
忌まわしい
意味深長だ
卑しい
嫌だ
嫌味たらしい
嫌味だ
嫌らしい
異様だ
入り用だ
異例だ
色々だ
色白だ
色っぽい
色とりどりだ
いわれない
因果だ
陰気だ
陰険だ
陰惨だ
陰湿だ
印象深い
インスタントだ
陰性だ
インターナショナルだ
インタナショナルだ
初々しい
受け難い
胡散臭い
後ろ暗い
後ろめたい
薄い
薄気味悪い
薄汚い
薄暗い
薄ら寒い
うずたかい
疑わしい
鬱陶しい
美しい
疎い
旨い
上手い
うやうやしい
うら寂しい
恨めしい
うらやましい
うら若い
うるさい
麗しい
嬉しい
永遠だ
鋭敏だ
鋭利だ
得難い
エキサイティングだ
偉い
遠大だ
縁遠い
遠慮深い
艶麗だ
美味しい
旺盛だ
横柄だ
多い
大忙しだ
大急ぎだ
大きい
雄々しい
おかしい
お構いなしだ
奥深い
奥ゆかしい
おこがましい
怒りっぽい
幼い
惜しい
惜しみない
お節介だ
遅い
恐れ多い
恐ろしい
おぞましい
お互い様だ
おっちょこちょいだ
男らしい
大人げない
おとなしい
おびただしい
おぼつかない
おめでたい
重い
思いがけない
思い通りだ
重々しい
重苦しい
面白い
おもしろおかしい
重たい
面映ゆい
思わしくない
女らしい
快活だ
かいがいしい
怪奇だ
快調だ
快適だ
皆無だ
輝かしい
限りない
かぐわしい
賢い
数多い
数知れない
堅い
難い
片意地だ
堅苦しい
かたじけない
片腹痛い
過大だ
格好いい
格好よい
格好悪い
悲しい
かなわない
か細い
かまびすしい
かゆい
か弱い
辛い
軽い
軽々しい
華麗だ
可愛い
可哀相だ
可愛らしい
簡易だ
閑静だ
寛大だ
甲高い
芳しい
簡明だ
寒冷だ
我慢強い
がめつい
奇異だ
生一本だ
黄色い
気鋭だ
奇怪だ
聞き苦しい
奇形だ
気忙しい
奇想天外だ
規則正しい
汚い
きつい
気強い
きな臭い
気恥ずかしい
厳しい
気まずい
気難しい
きめ細かい
気持ち良い
強大だ
興味深い
興味本位だ
巨大だ
清い
嫌いだ
綺麗好きだ
綺麗だ
きわどい
極まりない
均一だ
ぎこちない
仰々しい
義理堅い
食いしん坊だ
臭い
草深い
くすぐったい
くだらない
口うるさい
口惜しい
口汚い
口さがない
口幅ったい
口やかましい
くどい
悔しい
暗い
苦しい
黒い
詳しい
軽快だ
軽々だ
敬虔だ
軽少だ
軽率だ
軽度だ
軽薄だ
軽微だ
軽便だ
軽妙だ
汚らわしい
けたたましい
桁違いだ
気高い
けだるい
けちくさい
けばけばしい
煙い
煙たい
険しい
健在だ
見当違いだ
懸命だ
賢明だ
厳正だ
濃い
小粋だ
恋しい
光栄だ
神々しい
公正だ
広大だ
広大無辺だ
荒唐無稽だ
広範囲だ
香ばしい
公平だ
公明正大だ
公明だ
高名だ
小気味よい
小綺麗だ
克明だ
心地よい
心苦しい
心強い
心ない
心憎い
心細い
心もとない
心安い
快い
こざかしい
こそばゆい
誇大だ
小高い
滑稽だ
好ましい
細かい
怖い
懇意だ
強引だ
豪快だ
豪勢だ
最奥だ
最強だ
最高だ
最古だ
最後だ
最終だ
最小だ
最少だ
最初だ
最新だ
細心だ
最上だ
最善だ
最多だ
最短だ
最大だ
最長だ
最低だ
最適だ
最良だ
幸いだ
ささいだ
差し出がましい
殺風景だ
寂しい
寒い
さもしい
さりげない
騒がしい
塩辛い
しおらしい
四角い
しかたがない
しかたない
しかつめらしい
子細だ
親しい
失敬だ
しつこい
失礼だ
しどけない
忍びない
渋い
しぶとい
湿っぽい
秀逸だ
執念深い
しょうがない
詳細だ
所在ない
塩っぱい
しようがない
白々しい
白い
新鋭だ
心外だ
神経質だ
針小棒大だ
信心深い
神聖だ
しんどい
心配気だ
心配だ
辛抱強い
自在だ
時代遅れだ
自明だ
弱体だ
重大だ
純粋だ
自由自在だ
如才ない
じれったい
甚大だ
酸い
垂直だ
水平だ
末恐ろしい
末頼もしい
すがすがしい
少ない
すげない
凄い
すさまじい
筋違いだ
涼しい
酸っぱい
ストイックだ
すばしこい
素早い
素晴らしい
鋭い
随意だ
随分だ
ずうずうしい
図太い
ずるい
ずる賢い
精鋭だ
静穏だ
正確だ
精悍だ
正規だ
性急だ
清潔だ
精巧だ
凄惨だ
正式だ
静粛だ
清新だ
誠実だ
静寂だ
清純だ
正常だ
清浄だ
聖だ
盛大だ
精緻だ
静的だ
正当だ
正統だ
正反対だ
精密だ
清廉だ
世界共通だ
せせこましい
世知辛い
説教がましい
せつない
狭い
狭苦しい
せわしい
繊細だ
鮮明だ
脆弱だ
贅沢だ
絶体絶命だ
絶大だ
壮快だ
爽快だ
騒々しい
壮大だ
聡明だ
壮麗だ
そぐわない
そそっかしい
粗大だ
素っ気ない
空恐ろしい
空々しい
尊大だ
造作ない
存外だ
ぞんざいだ
退屈だ
大切だ
大層だ
怠惰だ
対等だ
太平だ
大変だ
怠慢だ
タイムリーだ
平らだ
大量だ
耐え難い
高い
たくましい
たけだけしい
多彩だ
多大だ
正しい
たどたどしい
楽しい
頼もしい
たやすい
頼りない
単一だ
端正だ
短命だ
大嫌いだ
大事だ
大丈夫だ
大好きだ
大胆だ
大胆不敵だ
大々的だ
大同小異だ
台無しだ
ダイナミックだ
ダイレクトだ
だだっ広い
だらしない
だるい
段違いだ
小さい
近い
近しい
力強い
力無い
違いない
血なまぐさい
血生臭い
茶色い
注意深い
忠誠だ
長大だ
長命だ
著名だ
痛快だ
つたない
つつがない
慎み深い
つつましい
つましい
つまらない
罪深い
冷たい
強い
つれない
低額だ
低級だ
低姿勢だ
低次元だ
低速だ
低俗だ
手痛い
丁重だ
低調だ
手一杯だ
丁寧だ
低率だ
手堅い
適正だ
手厳しい
手強い
手っ取り早い
手ぬるい
手早い
手広い
照れくさい
尊い
透明だ
遠い
通り一遍だ
得意気だ
得意だ
特異だ
とげとげしい
とてつもない
乏しい
とろい
とんでもない
同一だ
どえらい
どぎつい
毒々しい
どす黒い
ドライだ
泥臭い
亡い
無い
ないがしろだ
内密だ
永い
長い
長たらしい
長ったらしい
嘆かわしい
名残惜しい
情けない
情け深い
名高い
懐かしい
懐っこい
何気ない
生意気だ
生臭い
生々しい
生温い
なまめかしい
生易しい
並大抵だ
涙ぐましい
涙もろい
悩ましい
馴れ馴れしい
難解だ
何でもない
苦い
苦々しい
憎い
憎たらしい
憎らしい
似つかわしい
鈍い
にべもない
任意だ
忍耐強い
温い
ぬるい
寝苦しい
ねたましい
根強い
粘っこい
粘り強い
根深い
眠い
眠たい
念入りだ
望ましい
野太い
のろい
ハイカラだ
ハイだ
ハイレベルだ
儚い
はかばかしい
計り知れない
歯痒い
薄命だ
激しい
はしたない
恥ずかしい
肌寒い
果てしない
甚だしい
花々しい
幅広い
早い
速い
腹黒い
腹立たしい
晴れがましい
晴れ晴れしい
腫れぼったい
半永久的だ
反対だ
馬鹿丁寧だ
馬鹿馬鹿しい
馬鹿らしい
莫大だ
場違いだ
低い
久しい
ひっきりない
等しい
人なつこい
ひどい
ひもじい
ひ弱い
平たい
平べったい
広い
微細だ
ビジネスライクだ
不意だ
風光明媚だ
不衛生だ
深い
不快だ
不可解だ
不確定だ
ふがいない
複雑怪奇だ
福々しい
不景気だ
不経済だ
不公平だ
相応しい
不正確だ
不成功だ
不誠実だ
不整だ
不正だ
不摂生だ
不鮮明だ
不揃いだ
不注意だ
不定期だ
不定だ
不徹底だ
ふてぶてしい
太い
不統一だ
不透明だ
不得意だ
不本意だ
不明だ
不名誉だ
不明瞭だ
不明朗だ
不愉快だ
不用意だ
古い
古臭い
古めかしい
不細工だ
無粋だ
無礼だ
プライベートだ
平易だ
平穏だ
平気だ
平静だ
平坦だ
平淡だ
平板だ
平凡だ
平明だ
平和だ
変幻自在だ
扁平だ
法外だ
誇らしい
欲しい
ほしいままだ
細い
細長い
程近い
程遠い
程よい
ほの暗い
ほの白い
ほほえましい
ほろ苦い
膨大だ
ぼろい
マイナーだ
マイナスだ
マイルドだ
紛らわしい
負けず嫌いだ
まずい
貧しい
まだるっこい
待ち遠しい
間近い
まばゆい
まぶしい
ままならない
丸い
まわりくどい
まんべんない
未解決だ
未開拓だ
未完成だ
見苦しい
未経験だ
短い
みすぼらしい
水くさい
みずみずしい
満たない
みっともない
見辛い
未定だ
見難い
醜い
見易い
未練がましい
無意識だ
無為だ
無一文だ
無意味だ
無関係だ
無害だ
無限大だ
むごい
むごたらしい
無作為だ
むさ苦しい
無神経だ
難しい
むずがゆい
無制限だ
むつまじい
無抵抗だ
胸苦しい
空しい
無理解だ
無類だ
明解だ
明快だ
明確だ
明細だ
明晰だ
明白だ
明敏だ
名誉だ
明瞭だ
明朗だ
迷惑だ
目ざとい
目覚ましい
珍しい
めでたい
めぼしい
目まぐるしい
女々しい
面倒くさい
面目ない
申し訳ない
もったいない
持って来いだ
もっともらしい
もどかしい
物要りだ
物悲しい
物寂しい
物凄い
物足りない
物見高い
物珍しい
物々しい
脆い
やかましい
易しい
優しい
安い
易い
安っぽい
厄介だ
やばい
野暮ったい
やましい
やむない
ややこしい
やりきれない
やるかたない
やるせない
柔らかい
有意義だ
優位だ
有意だ
有為だ
有害だ
優勢だ
雄大だ
有名だ
有名無実だ
愉快だ
ゆかしい
由々しい
緩い
揺るぎない
よい
容易だ
用心深い
陽性だ
余儀ない
余計だ
予想外だ
よそよそしい
喜ばしい
よろしい
弱い
弱々しい
よんどころない
らしい
隆盛だ
流麗だ
りりしい
礼儀正しい
冷血だ
冷厳だ
冷酷だ
零細だ
冷静だ
冷淡だ
冷徹だ
劣勢だ
論外だ
猥雑だ
猥褻だ
ワイドだ
若い
若々しい
わけない
わざとらしい
忘れ難い
煩わしい
侘しい
悪い
悪賢い
有頂天だ
エキセントリックだ
